,k,p,weight,train_accuracy,test_accuracy
0,1,1,uniform,1.0,0.9555555555555556
1,1,2,uniform,1.0,0.9333333333333333
2,1,3,uniform,1.0,0.9333333333333333
3,1,4,uniform,1.0,0.9333333333333333
4,1,5,uniform,1.0,0.9333333333333333
5,2,1,uniform,0.9774436090225563,0.9555555555555556
6,2,2,uniform,0.9849624060150376,0.9333333333333333
7,2,3,uniform,0.9849624060150376,0.9333333333333333
8,2,4,uniform,0.9774436090225563,0.9333333333333333
9,2,5,uniform,0.9548872180451128,0.9111111111111111
10,3,1,uniform,0.9849624060150376,0.9777777777777777
11,3,2,uniform,0.9624060150375939,0.9777777777777777
12,3,3,uniform,0.9624060150375939,0.9777777777777777
13,3,4,uniform,0.9624060150375939,0.9777777777777777
14,3,5,uniform,0.9624060150375939,0.9777777777777777
15,4,1,uniform,0.9624060150375939,0.9555555555555556
16,4,2,uniform,0.9624060150375939,0.9777777777777777
17,4,3,uniform,0.9624060150375939,1.0
18,4,4,uniform,0.9548872180451128,1.0
19,4,5,uniform,0.9473684210526315,1.0
20,5,1,uniform,0.9699248120300752,0.9777777777777777
21,5,2,uniform,0.9774436090225563,0.9777777777777777
22,5,3,uniform,0.9699248120300752,1.0
23,5,4,uniform,0.9624060150375939,1.0
24,5,5,uniform,0.9624060150375939,1.0
25,6,1,uniform,0.9699248120300752,1.0
26,6,2,uniform,0.9699248120300752,1.0
27,6,3,uniform,0.9548872180451128,1.0
28,6,4,uniform,0.9548872180451128,1.0
29,6,5,uniform,0.9398496240601504,1.0
30,7,1,uniform,0.9624060150375939,1.0
31,7,2,uniform,0.9774436090225563,1.0
32,7,3,uniform,0.9624060150375939,1.0
33,7,4,uniform,0.9774436090225563,0.9777777777777777
34,7,5,uniform,0.9699248120300752,1.0
35,8,1,uniform,0.9699248120300752,0.9777777777777777
36,8,2,uniform,0.9699248120300752,1.0
37,8,3,uniform,0.9774436090225563,1.0
38,8,4,uniform,0.9624060150375939,0.9777777777777777
39,8,5,uniform,0.9699248120300752,0.9555555555555556
40,9,1,uniform,0.9774436090225563,0.9777777777777777
41,9,2,uniform,0.9624060150375939,1.0
42,9,3,uniform,0.9624060150375939,0.9777777777777777
43,9,4,uniform,0.9624060150375939,1.0
44,9,5,uniform,0.9699248120300752,0.9777777777777777
45,10,1,uniform,0.9774436090225563,0.9777777777777777
46,10,2,uniform,0.9473684210526315,1.0
47,10,3,uniform,0.9473684210526315,1.0
48,10,4,uniform,0.9548872180451128,0.9777777777777777
49,10,5,uniform,0.9473684210526315,0.9555555555555556
50,11,1,uniform,0.9774436090225563,0.9555555555555556
51,11,2,uniform,0.9473684210526315,0.9777777777777777
52,11,3,uniform,0.9473684210526315,1.0
53,11,4,uniform,0.9548872180451128,0.9777777777777777
54,11,5,uniform,0.9548872180451128,0.9777777777777777
55,12,1,uniform,0.9624060150375939,0.9777777777777777
56,12,2,uniform,0.9624060150375939,0.9777777777777777
57,12,3,uniform,0.9624060150375939,0.9777777777777777
58,12,4,uniform,0.9548872180451128,0.9777777777777777
59,12,5,uniform,0.9548872180451128,0.9777777777777777
60,13,1,uniform,0.9624060150375939,0.9555555555555556
61,13,2,uniform,0.9624060150375939,1.0
62,13,3,uniform,0.9548872180451128,1.0
63,13,4,uniform,0.9548872180451128,1.0
64,13,5,uniform,0.9624060150375939,0.9777777777777777
65,14,1,uniform,0.9624060150375939,0.9555555555555556
66,14,2,uniform,0.9548872180451128,1.0
67,14,3,uniform,0.9548872180451128,1.0
68,14,4,uniform,0.9548872180451128,0.9777777777777777
69,14,5,uniform,0.9548872180451128,0.9777777777777777
70,15,1,uniform,0.9624060150375939,0.9555555555555556
71,15,2,uniform,0.9624060150375939,1.0
72,15,3,uniform,0.9624060150375939,1.0
73,15,4,uniform,0.9624060150375939,1.0
74,15,5,uniform,0.9548872180451128,0.9777777777777777
75,1,1,distance,1.0,0.9555555555555556
76,1,2,distance,1.0,0.9333333333333333
77,1,3,distance,1.0,0.9333333333333333
78,1,4,distance,1.0,0.9333333333333333
79,1,5,distance,1.0,0.9333333333333333
80,2,1,distance,1.0,0.9555555555555556
81,2,2,distance,1.0,0.9333333333333333
82,2,3,distance,1.0,0.9333333333333333
83,2,4,distance,1.0,0.9333333333333333
84,2,5,distance,1.0,0.9333333333333333
85,3,1,distance,1.0,0.9777777777777777
86,3,2,distance,1.0,0.9777777777777777
87,3,3,distance,1.0,0.9777777777777777
88,3,4,distance,1.0,0.9777777777777777
89,3,5,distance,1.0,0.9777777777777777
90,4,1,distance,1.0,0.9777777777777777
91,4,2,distance,1.0,0.9555555555555556
92,4,3,distance,1.0,0.9777777777777777
93,4,4,distance,1.0,0.9777777777777777
94,4,5,distance,1.0,0.9777777777777777
95,5,1,distance,1.0,0.9777777777777777
96,5,2,distance,1.0,0.9777777777777777
97,5,3,distance,1.0,1.0
98,5,4,distance,1.0,1.0
99,5,5,distance,1.0,1.0
100,6,1,distance,1.0,0.9777777777777777
101,6,2,distance,1.0,0.9777777777777777
102,6,3,distance,1.0,0.9777777777777777
103,6,4,distance,1.0,0.9777777777777777
104,6,5,distance,1.0,0.9777777777777777
105,7,1,distance,1.0,1.0
106,7,2,distance,1.0,1.0
107,7,3,distance,1.0,1.0
108,7,4,distance,1.0,1.0
109,7,5,distance,1.0,1.0
110,8,1,distance,1.0,1.0
111,8,2,distance,1.0,0.9777777777777777
112,8,3,distance,1.0,0.9777777777777777
113,8,4,distance,1.0,0.9777777777777777
114,8,5,distance,1.0,0.9777777777777777
115,9,1,distance,1.0,0.9777777777777777
116,9,2,distance,1.0,1.0
117,9,3,distance,1.0,0.9777777777777777
118,9,4,distance,1.0,1.0
119,9,5,distance,1.0,0.9777777777777777
120,10,1,distance,1.0,0.9555555555555556
121,10,2,distance,1.0,0.9777777777777777
122,10,3,distance,1.0,0.9777777777777777
123,10,4,distance,1.0,1.0
124,10,5,distance,1.0,0.9777777777777777
125,11,1,distance,1.0,0.9555555555555556
126,11,2,distance,1.0,0.9777777777777777
127,11,3,distance,1.0,1.0
128,11,4,distance,1.0,0.9777777777777777
129,11,5,distance,1.0,0.9777777777777777
130,12,1,distance,1.0,0.9555555555555556
131,12,2,distance,1.0,0.9777777777777777
132,12,3,distance,1.0,0.9777777777777777
133,12,4,distance,1.0,1.0
134,12,5,distance,1.0,1.0
135,13,1,distance,1.0,0.9555555555555556
136,13,2,distance,1.0,1.0
137,13,3,distance,1.0,1.0
138,13,4,distance,1.0,1.0
139,13,5,distance,1.0,0.9777777777777777
140,14,1,distance,1.0,0.9555555555555556
141,14,2,distance,1.0,0.9777777777777777
142,14,3,distance,1.0,1.0
143,14,4,distance,1.0,1.0
144,14,5,distance,1.0,1.0
145,15,1,distance,1.0,0.9555555555555556
146,15,2,distance,1.0,1.0
147,15,3,distance,1.0,1.0
148,15,4,distance,1.0,1.0
149,15,5,distance,1.0,0.9777777777777777
