,k,p,weight,train_accuracy,test_accuracy
0,1,1,uniform,1.0,0.9777777777777777
1,1,2,uniform,1.0,0.9777777777777777
2,1,3,uniform,1.0,0.9555555555555556
3,1,4,uniform,1.0,0.9777777777777777
4,1,5,uniform,1.0,0.9777777777777777
5,2,1,uniform,1.0,0.9777777777777777
6,2,2,uniform,0.9774436090225563,0.9333333333333333
7,2,3,uniform,0.9774436090225563,0.9333333333333333
8,2,4,uniform,0.9849624060150376,0.9333333333333333
9,2,5,uniform,0.9849624060150376,0.9333333333333333
10,3,1,uniform,0.9924812030075187,0.9777777777777777
11,3,2,uniform,0.9774436090225563,0.9777777777777777
12,3,3,uniform,0.9699248120300752,0.9777777777777777
13,3,4,uniform,0.9699248120300752,0.9555555555555556
14,3,5,uniform,0.9699248120300752,0.9777777777777777
15,4,1,uniform,0.9924812030075187,0.9555555555555556
16,4,2,uniform,0.9699248120300752,0.9555555555555556
17,4,3,uniform,0.9624060150375939,0.9111111111111111
18,4,4,uniform,0.9624060150375939,0.9111111111111111
19,4,5,uniform,0.9548872180451128,0.9333333333333333
20,5,1,uniform,0.9849624060150376,0.9777777777777777
21,5,2,uniform,0.9699248120300752,0.9777777777777777
22,5,3,uniform,0.9624060150375939,0.9777777777777777
23,5,4,uniform,0.9624060150375939,0.9777777777777777
24,5,5,uniform,0.9624060150375939,0.9777777777777777
25,6,1,uniform,0.9849624060150376,0.9777777777777777
26,6,2,uniform,0.9699248120300752,0.9333333333333333
27,6,3,uniform,0.9548872180451128,0.9333333333333333
28,6,4,uniform,0.9548872180451128,0.9555555555555556
29,6,5,uniform,0.9548872180451128,0.9555555555555556
30,7,1,uniform,0.9774436090225563,0.9777777777777777
31,7,2,uniform,0.9699248120300752,0.9777777777777777
32,7,3,uniform,0.9624060150375939,0.9777777777777777
33,7,4,uniform,0.9624060150375939,0.9777777777777777
34,7,5,uniform,0.9699248120300752,0.9777777777777777
35,8,1,uniform,0.9849624060150376,0.9777777777777777
36,8,2,uniform,0.9699248120300752,0.9777777777777777
37,8,3,uniform,0.9624060150375939,0.9555555555555556
38,8,4,uniform,0.9548872180451128,0.9777777777777777
39,8,5,uniform,0.9473684210526315,0.9777777777777777
40,9,1,uniform,0.9849624060150376,0.9777777777777777
41,9,2,uniform,0.9699248120300752,1.0
42,9,3,uniform,0.9624060150375939,0.9777777777777777
43,9,4,uniform,0.9548872180451128,0.9777777777777777
44,9,5,uniform,0.9473684210526315,0.9777777777777777
45,10,1,uniform,0.9849624060150376,0.9777777777777777
46,10,2,uniform,0.9774436090225563,0.9777777777777777
47,10,3,uniform,0.9624060150375939,0.9555555555555556
48,10,4,uniform,0.9473684210526315,0.9555555555555556
49,10,5,uniform,0.9473684210526315,0.9777777777777777
50,11,1,uniform,0.9849624060150376,0.9777777777777777
51,11,2,uniform,0.9774436090225563,1.0
52,11,3,uniform,0.9624060150375939,0.9555555555555556
53,11,4,uniform,0.9624060150375939,0.9777777777777777
54,11,5,uniform,0.9548872180451128,0.9777777777777777
55,12,1,uniform,0.9849624060150376,0.9777777777777777
56,12,2,uniform,0.9774436090225563,0.9777777777777777
57,12,3,uniform,0.9548872180451128,0.9555555555555556
58,12,4,uniform,0.9548872180451128,0.9777777777777777
59,12,5,uniform,0.9624060150375939,0.9777777777777777
60,13,1,uniform,0.9849624060150376,1.0
61,13,2,uniform,0.9699248120300752,1.0
62,13,3,uniform,0.9548872180451128,1.0
63,13,4,uniform,0.9548872180451128,0.9777777777777777
64,13,5,uniform,0.9473684210526315,0.9777777777777777
65,14,1,uniform,0.9774436090225563,1.0
66,14,2,uniform,0.9699248120300752,1.0
67,14,3,uniform,0.9473684210526315,0.9777777777777777
68,14,4,uniform,0.9548872180451128,0.9777777777777777
69,14,5,uniform,0.9548872180451128,0.9777777777777777
70,15,1,uniform,0.9774436090225563,1.0
71,15,2,uniform,0.9699248120300752,1.0
72,15,3,uniform,0.9548872180451128,0.9777777777777777
73,15,4,uniform,0.9624060150375939,0.9777777777777777
74,15,5,uniform,0.9473684210526315,0.9777777777777777
75,1,1,distance,1.0,0.9777777777777777
76,1,2,distance,1.0,0.9777777777777777
77,1,3,distance,1.0,0.9555555555555556
78,1,4,distance,1.0,0.9777777777777777
79,1,5,distance,1.0,0.9777777777777777
80,2,1,distance,1.0,0.9777777777777777
81,2,2,distance,1.0,0.9777777777777777
82,2,3,distance,1.0,0.9555555555555556
83,2,4,distance,1.0,0.9777777777777777
84,2,5,distance,1.0,0.9777777777777777
85,3,1,distance,1.0,0.9777777777777777
86,3,2,distance,1.0,0.9777777777777777
87,3,3,distance,1.0,0.9777777777777777
88,3,4,distance,1.0,0.9555555555555556
89,3,5,distance,1.0,0.9777777777777777
90,4,1,distance,1.0,0.9777777777777777
91,4,2,distance,1.0,0.9777777777777777
92,4,3,distance,1.0,0.9555555555555556
93,4,4,distance,1.0,0.9555555555555556
94,4,5,distance,1.0,0.9777777777777777
