,k,p,weight,train_accuracy,test_accuracy
0,1,1,uniform,1.0,1.0
1,1,2,uniform,1.0,0.9777777777777777
2,1,3,uniform,1.0,0.9777777777777777
3,1,4,uniform,1.0,0.9777777777777777
4,1,5,uniform,1.0,0.9777777777777777
5,2,1,uniform,0.9774436090225563,0.9777777777777777
6,2,2,uniform,0.9699248120300752,0.9777777777777777
7,2,3,uniform,0.9699248120300752,0.9555555555555556
8,2,4,uniform,0.9699248120300752,0.9555555555555556
9,2,5,uniform,0.9699248120300752,0.9555555555555556
10,3,1,uniform,0.9774436090225563,0.9777777777777777
11,3,2,uniform,0.9774436090225563,0.9777777777777777
12,3,3,uniform,0.9699248120300752,0.9777777777777777
13,3,4,uniform,0.9699248120300752,0.9777777777777777
14,3,5,uniform,0.9699248120300752,0.9555555555555556
15,4,1,uniform,0.9774436090225563,0.9777777777777777
16,4,2,uniform,0.9624060150375939,0.9777777777777777
17,4,3,uniform,0.9624060150375939,0.9555555555555556
18,4,4,uniform,0.9548872180451128,0.9333333333333333
19,4,5,uniform,0.9398496240601504,0.9333333333333333
20,5,1,uniform,0.9774436090225563,0.9777777777777777
21,5,2,uniform,0.9849624060150376,0.9777777777777777
22,5,3,uniform,0.9699248120300752,0.9555555555555556
23,5,4,uniform,0.9774436090225563,0.9555555555555556
24,5,5,uniform,0.9699248120300752,0.9555555555555556
25,6,1,uniform,0.9624060150375939,0.9777777777777777
26,6,2,uniform,0.9624060150375939,0.9777777777777777
27,6,3,uniform,0.9548872180451128,0.9555555555555556
28,6,4,uniform,0.9548872180451128,0.9555555555555556
29,6,5,uniform,0.9473684210526315,0.9555555555555556
30,7,1,uniform,0.9699248120300752,0.9777777777777777
31,7,2,uniform,0.9624060150375939,0.9777777777777777
32,7,3,uniform,0.9624060150375939,0.9555555555555556
33,7,4,uniform,0.9624060150375939,0.9555555555555556
34,7,5,uniform,0.9548872180451128,0.9555555555555556
35,8,1,uniform,0.9849624060150376,0.9777777777777777
36,8,2,uniform,0.9624060150375939,0.9777777777777777
37,8,3,uniform,0.9548872180451128,0.9555555555555556
38,8,4,uniform,0.9699248120300752,0.9555555555555556
39,8,5,uniform,0.9624060150375939,0.9555555555555556
40,9,1,uniform,0.9774436090225563,0.9777777777777777
41,9,2,uniform,0.9624060150375939,0.9777777777777777
42,9,3,uniform,0.9624060150375939,0.9777777777777777
43,9,4,uniform,0.9548872180451128,1.0
44,9,5,uniform,0.9624060150375939,0.9777777777777777
45,10,1,uniform,0.9699248120300752,0.9777777777777777
46,10,2,uniform,0.9774436090225563,0.9777777777777777
47,10,3,uniform,0.9624060150375939,0.9777777777777777
48,10,4,uniform,0.9548872180451128,0.9555555555555556
49,10,5,uniform,0.9624060150375939,0.9555555555555556
50,11,1,uniform,0.9699248120300752,0.9777777777777777
51,11,2,uniform,0.9699248120300752,0.9777777777777777
52,11,3,uniform,0.9699248120300752,0.9777777777777777
53,11,4,uniform,0.9548872180451128,0.9777777777777777
54,11,5,uniform,0.9624060150375939,0.9555555555555556
55,12,1,uniform,0.9699248120300752,0.9777777777777777
56,12,2,uniform,0.9774436090225563,0.9777777777777777
57,12,3,uniform,0.9624060150375939,0.9777777777777777
58,12,4,uniform,0.9548872180451128,0.9555555555555556
59,12,5,uniform,0.9473684210526315,0.9555555555555556
60,13,1,uniform,0.9699248120300752,0.9777777777777777
61,13,2,uniform,0.9699248120300752,0.9777777777777777
62,13,3,uniform,0.9624060150375939,0.9777777777777777
63,13,4,uniform,0.9699248120300752,0.9555555555555556
64,13,5,uniform,0.9624060150375939,0.9555555555555556
65,14,1,uniform,0.9699248120300752,0.9777777777777777
66,14,2,uniform,0.9774436090225563,0.9777777777777777
67,14,3,uniform,0.9548872180451128,0.9777777777777777
68,14,4,uniform,0.9699248120300752,0.9555555555555556
69,14,5,uniform,0.9548872180451128,0.9555555555555556
70,15,1,uniform,0.9699248120300752,0.9777777777777777
71,15,2,uniform,0.9774436090225563,0.9777777777777777
72,15,3,uniform,0.9774436090225563,0.9777777777777777
73,15,4,uniform,0.9624060150375939,0.9555555555555556
74,15,5,uniform,0.9548872180451128,0.9555555555555556
75,1,1,distance,1.0,1.0
76,1,2,distance,1.0,0.9777777777777777
77,1,3,distance,1.0,0.9777777777777777
78,1,4,distance,1.0,0.9777777777777777
79,1,5,distance,1.0,0.9777777777777777
80,2,1,distance,1.0,1.0
81,2,2,distance,1.0,0.9777777777777777
82,2,3,distance,1.0,0.9777777777777777
83,2,4,distance,1.0,0.9777777777777777
84,2,5,distance,1.0,0.9777777777777777
85,3,1,distance,1.0,0.9777777777777777
86,3,2,distance,1.0,0.9777777777777777
87,3,3,distance,1.0,0.9777777777777777
88,3,4,distance,1.0,0.9777777777777777
89,3,5,distance,1.0,0.9555555555555556
90,4,1,distance,1.0,0.9777777777777777
91,4,2,distance,1.0,0.9777777777777777
92,4,3,distance,1.0,0.9777777777777777
93,4,4,distance,1.0,0.9777777777777777
94,4,5,distance,1.0,0.9555555555555556
95,5,1,distance,1.0,0.9777777777777777
96,5,2,distance,1.0,0.9777777777777777
97,5,3,distance,1.0,0.9777777777777777
98,5,4,distance,1.0,0.9777777777777777
99,5,5,distance,1.0,0.9777777777777777
100,6,1,distance,1.0,0.9777777777777777
101,6,2,distance,1.0,0.9777777777777777
102,6,3,distance,1.0,0.9555555555555556
103,6,4,distance,1.0,0.9555555555555556
104,6,5,distance,1.0,0.9555555555555556
105,7,1,distance,1.0,0.9777777777777777
106,7,2,distance,1.0,0.9777777777777777
107,7,3,distance,1.0,0.9777777777777777
108,7,4,distance,1.0,0.9777777777777777
109,7,5,distance,1.0,0.9777777777777777
110,8,1,distance,1.0,0.9777777777777777
111,8,2,distance,1.0,0.9777777777777777
112,8,3,distance,1.0,0.9777777777777777
113,8,4,distance,1.0,0.9777777777777777
114,8,5,distance,1.0,0.9555555555555556
115,9,1,distance,1.0,0.9777777777777777
116,9,2,distance,1.0,0.9777777777777777
117,9,3,distance,1.0,0.9777777777777777
118,9,4,distance,1.0,1.0
119,9,5,distance,1.0,1.0
120,10,1,distance,1.0,0.9777777777777777
121,10,2,distance,1.0,0.9777777777777777
122,10,3,distance,1.0,0.9777777777777777
123,10,4,distance,1.0,0.9777777777777777
124,10,5,distance,1.0,0.9777777777777777
125,11,1,distance,1.0,0.9777777777777777
126,11,2,distance,1.0,0.9777777777777777
127,11,3,distance,1.0,0.9777777777777777
128,11,4,distance,1.0,0.9777777777777777
129,11,5,distance,1.0,0.9555555555555556
130,12,1,distance,1.0,0.9777777777777777
131,12,2,distance,1.0,0.9777777777777777
132,12,3,distance,1.0,0.9777777777777777
133,12,4,distance,1.0,0.9777777777777777
134,12,5,distance,1.0,0.9555555555555556
135,13,1,distance,1.0,0.9777777777777777
136,13,2,distance,1.0,0.9777777777777777
137,13,3,distance,1.0,0.9777777777777777
138,13,4,distance,1.0,0.9777777777777777
139,13,5,distance,1.0,0.9555555555555556
140,14,1,distance,1.0,0.9777777777777777
141,14,2,distance,1.0,0.9777777777777777
142,14,3,distance,1.0,0.9777777777777777
143,14,4,distance,1.0,0.9777777777777777
144,14,5,distance,1.0,0.9555555555555556
145,15,1,distance,1.0,0.9777777777777777
146,15,2,distance,1.0,0.9777777777777777
147,15,3,distance,1.0,0.9777777777777777
148,15,4,distance,1.0,0.9555555555555556
149,15,5,distance,1.0,0.9555555555555556
