,n,training_accuracy,test_accuracy
0,1,0.9257609502598366,0.7822222222222223
1,2,0.9146250927988122,0.7533333333333333
2,5,0.9962880475129918,0.9266666666666666
3,10,0.9992576095025983,0.9533333333333334
4,20,1.0,0.9755555555555555
5,50,1.0,0.98
6,100,1.0,0.9822222222222222
7,200,1.0,0.9822222222222222
