,C,train_accuracy,test_accuracy
0,0.001,0.9725315515961396,0.9533333333333334
1,0.01,0.9933184855233853,0.9644444444444444
2,0.1,1.0,0.9688888888888889
3,1.0,1.0,0.9666666666666667
4,10.0,1.0,0.9644444444444444
5,100.0,1.0,0.9644444444444444
6,1000.0,1.0,0.96
